iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2520,21888,6757,5356,2978,1467,729,315,154,56,27,12,2,0,2,0,0,0,0,0,0
2530,21876,6804,5338,2937,1521,676,332,138,80,27,9,4,0,1,0,0,0,0,0,0
2540,21989,6586,5375,2986,1534,710,330,140,54,22,14,3,0,0,0,0,0,0,0,0
2550,21879,6756,5334,3019,1497,692,315,147,59,32,10,1,2,0,0,0,0,0,0,0
2560,21868,6726,5427,3006,1453,668,335,154,69,21,12,4,0,0,0,0,0,0,0,0
2570,21895,6754,5394,2879,1536,705,342,131,69,20,10,4,2,2,0,0,0,0,0,0
2580,21868,6792,5424,2904,1451,690,335,164,73,30,7,5,0,0,0,0,0,0,0,0
2590,21910,6808,5302,2927,1482,694,372,133,70,27,13,4,1,0,0,0,0,0,0,0
2600,21947,6684,5406,2927,1464,728,330,139,71,29,13,3,1,1,0,0,0,0,0,0
2610,21882,6758,5396,2921,1491,698,350,150,64,21,7,5,0,0,0,0,0,0,0,0
2620,21894,6761,5367,2909,1505,721,354,136,66,18,6,3,2,1,0,0,0,0,0,0
2630,22011,6582,5412,2941,1496,714,337,132,76,24,11,4,3,0,0,0,0,0,0,0
2640,21957,6714,5373,2887,1484,724,339,152,73,23,13,1,3,0,0,0,0,0,0,0
2650,21919,6713,5373,2945,1510,692,335,162,62,17,12,2,0,0,1,0,0,0,0,0
2660,21940,6599,5490,2966,1470,709,315,145,69,24,10,4,2,0,0,0,0,0,0,0
2670,21936,6706,5380,2924,1510,700,321,149,78,25,8,5,1,0,0,0,0,0,0,0
2680,21991,6642,5361,2975,1453,725,328,158,66,30,10,3,1,0,0,0,0,0,0,0
2690,21956,6614,5461,2979,1439,707,321,155,66,24,13,4,2,2,0,0,0,0,0,0
2700,21971,6654,5441,2927,1424,732,308,157,70,37,16,3,2,1,0,0,0,0,0,0
2710,21864,6794,5431,2866,1442,740,359,155,66,14,9,0,2,0,1,0,0,0,0,0
2720,21812,6751,5534,2913,1459,716,301,166,49,24,12,2,1,3,0,0,0,0,0,0
2730,21862,6709,5483,2932,1512,708,267,146,79,30,8,6,1,0,0,0,0,0,0,0
2740,21917,6674,5475,2937,1394,755,339,145,72,25,5,4,0,1,0,0,0,0,0,0
2750,22003,6579,5396,2990,1477,724,311,158,68,20,12,2,3,0,0,0,0,0,0,0
2760,21964,6735,5229,3021,1474,743,315,166,60,21,13,1,0,0,1,0,0,0,0,0
2770,21924,6713,5323,3035,1477,662,345,172,59,24,4,2,2,1,0,0,0,0,0,0
2780,21957,6722,5303,2977,1456,745,308,164,72,32,5,1,0,0,1,0,0,0,0,0
2790,21964,6631,5312,3085,1547,631,314,150,59,33,6,9,1,0,0,0,1,0,0,0
2800,21923,6645,5491,2931,1451,698,348,163,59,20,9,2,3,0,0,0,0,0,0,0
2810,21944,6653,5454,2888,1511,701,340,142,72,24,12,1,1,0,0,0,0,0,0,0
2820,21890,6778,5435,2851,1432,752,343,158,71,15,13,3,2,0,0,0,0,0,0,0
2830,21800,6892,5312,2949,1541,707,295,135,67,30,6,8,1,0,0,0,0,0,0,0
2840,21779,6809,5497,2912,1473,705,327,146,64,22,6,3,0,0,0,0,0,0,0,0
2850,21909,6698,5404,2982,1491,696,309,132,63,37,15,4,1,2,0,0,0,0,0,0
2860,21953,6684,5353,2944,1523,704,327,147,70,25,11,1,1,0,0,0,0,0,0,0
2870,21955,6606,5443,2923,1577,651,345,143,65,26,6,2,1,0,0,0,0,0,0,0
2880,21906,6678,5490,2876,1517,709,301,157,61,33,13,1,0,1,0,0,0,0,0,0
