iteration,0,1,2,3
7020,15154,13223,13330,15370
7030,15142,13209,13266,15460
7040,15105,13223,13238,15511
7050,15139,13201,13122,15615
7060,15134,13305,13284,15354
7070,15066,13405,13204,15402
7080,15083,13323,13357,15314
7090,15165,13336,13091,15485
7100,15226,13173,13262,15416
7110,15102,13253,13292,15430
7120,15098,13073,13365,15541
7130,15264,13219,13242,15352
7140,15231,13167,13191,15488
7150,14945,13325,13400,15407
7160,15111,13175,13295,15496
7170,15195,13169,13280,15433
7180,15038,13301,13184,15554
7190,15186,13323,13154,15414
7200,15175,13280,13227,15395
7210,15189,13208,13342,15338
7220,15138,13233,13382,15324
7230,15288,13002,13307,15480
7240,15082,13260,13251,15484
7250,15162,13199,13270,15446
7260,15166,13215,13231,15465
7270,15142,13137,13224,15574
7280,15159,13140,13231,15547
7290,15217,13083,13256,15521
7300,15245,13099,13222,15511
7310,15104,13247,13220,15506
7320,15112,13259,13229,15477
7330,15170,13200,13191,15516
7340,15248,13231,13238,15360
7350,15070,13177,13386,15444
7360,15402,13118,13161,15396
7370,15091,13229,13288,15469
7380,15136,13206,13173,15562
7390,15084,13254,13098,15641
7400,15087,13163,13272,15555
7410,15129,13248,13245,15455
7420,15255,13041,13358,15423
7430,15104,13221,13230,15522
7440,15080,13284,13276,15437
7450,15131,13175,13265,15506
7460,15166,13234,13197,15480
7470,15100,13276,13206,15495
7480,15144,13179,13325,15429
7490,15248,13150,13212,15467
7500,15187,13220,13197,15473
7510,15098,13227,13293,15459
7520,15199,13273,13275,15330
7530,15177,13220,13203,15477
7540,15058,13251,13344,15424
7550,15116,13216,13193,15552
7560,15171,13240,13177,15489
7570,15024,13255,13208,15590
7580,14984,13293,13309,15491
7590,15206,13197,13269,15405
7600,15062,13287,13228,15500
7610,15196,13246,13193,15442
7620,15316,13137,13209,15415
7630,15141,13252,13197,15487
7640,15284,13105,13306,15382
7650,15224,13257,13164,15432
7660,15018,13268,13202,15589
7670,15173,13207,13370,15327
7680,15180,13246,13299,15352
7690,15204,13135,13207,15531
7700,15159,13284,13262,15372
7710,15095,13294,13249,15439
7720,15237,13258,13244,15338
7730,15275,13049,13238,15515
7740,15250,13205,13236,15386
7750,15179,13212,13279,15407
7760,15239,13274,13228,15336
7770,15125,13311,13250,15391
7780,15129,13247,13079,15622
7790,15004,13235,13176,15662
7800,15228,13331,13187,15331
7810,15129,13294,13145,15509
7820,15077,13250,13171,15579
7830,15207,13323,13188,15359
7840,15045,13295,13327,15410
7850,15288,13123,13225,15441
7860,15095,13125,13397,15460
7870,15110,13214,13177,15576
7880,15248,13156,13337,15336
7890,15355,13127,13166,15429
7900,15105,13403,13096,15473
7910,15164,13219,13280,15414
7920,15238,13267,13290,15282
7930,15192,13057,13299,15529
7940,15105,13307,13257,15408
7950,15192,13241,13187,15457
7960,15222,13198,13299,15358
7970,15238,13298,13197,15344
7980,15134,13291,13215,15437
7990,15210,13140,13264,15463
8000,15207,13248,13202,15420
8010,15310,13086,13409,15272
8020,15288,13264,13342,15183
8030,15140,13249,13398,15290
8040,15360,13191,13118,15408
8050,15117,13143,13305,15512
8060,15192,13259,13169,15457
8070,15268,13102,13417,15290
8080,15223,13158,13234,15462
8090,15165,13304,13232,15376
8100,15155,13151,13154,15617
8110,15208,13285,13098,15486
8120,15209,13155,13285,15428
8130,15217,13169,13138,15553
8140,15135,13208,13304,15430
8150,15226,13191,13289,15371
8160,15267,13180,13260,15370
8170,15136,13315,13234,15392
8180,15147,13264,13261,15405
8190,15265,13222,13229,15361
8200,15230,13242,13236,15369
8210,15358,13225,13130,15364
8220,15102,13273,13201,15501
8230,15179,13221,13231,15446
8240,15139,13086,13293,15559
8250,15083,13266,13155,15573
8260,15231,13141,13181,15524
8270,15069,13335,13293,15380
8280,15149,13316,13121,15491
8290,15128,13213,13313,15423
8300,15219,13245,13225,15388
8310,15117,13281,13228,15451
8320,15228,13256,13162,15431
8330,15254,13065,13171,15587
8340,15178,13253,13151,15495
8350,15192,13240,13243,15402
8360,15072,13258,13179,15568
8370,15195,13203,13309,15370
8380,15127,13314,13243,15393
8390,15136,13165,13268,15508
8400,15157,13376,13191,15353
8410,15316,13149,13213,15399
8420,15271,13173,13212,15421
8430,15191,13296,13298,15292
8440,15294,13107,13162,15514
8450,15239,13086,13321,15431
8460,15069,13377,13281,15350
