iteration,0,1,2,3,4,5,6,7,8,9,10,11
4170,29855,8773,9728,6584,1709,333,75,16,3,1,0,0
4180,29789,8883,9662,6621,1720,310,73,16,1,1,1,0
4190,29793,8841,9744,6544,1756,322,60,14,3,0,0,0
4200,29776,8828,9767,6606,1704,315,63,16,2,0,0,0
4210,29783,8838,9749,6621,1665,336,64,17,1,3,0,0
4220,29816,8713,9836,6636,1693,304,64,12,3,0,0,0
4230,29822,8769,9725,6695,1660,321,70,12,3,0,0,0
4240,29859,8791,9634,6661,1735,309,71,14,2,0,1,0
4250,29764,8833,9763,6657,1667,306,69,11,6,0,1,0
4260,29715,8946,9651,6721,1665,291,69,15,4,0,0,0
4270,29817,8798,9684,6700,1679,319,62,16,2,0,0,0
4280,29785,8828,9717,6662,1695,309,66,12,3,0,0,0
4290,29835,8751,9708,6692,1717,299,60,11,2,2,0,0
4300,29842,8733,9731,6662,1742,293,58,13,3,0,0,0
4310,29799,8842,9646,6730,1641,340,68,8,2,1,0,0
4320,29730,8833,9838,6609,1694,295,62,13,1,1,1,0
4330,29684,8909,9757,6706,1657,297,50,15,1,0,1,0
4340,29747,8814,9808,6668,1653,308,66,10,2,1,0,0
4350,29831,8770,9682,6712,1708,287,72,13,1,1,0,0
