iteration,0,1,2,3,4,5,6
6460,2035,6106,1690,162,7,0,0
6470,2054,6072,1701,166,7,0,0
6480,2039,6112,1668,172,9,0,0
6490,2049,6078,1707,156,10,0,0
6500,2016,6148,1668,156,12,0,0
6510,2009,6145,1693,143,10,0,0
6520,1990,6197,1648,154,10,1,0
6530,1992,6190,1653,156,9,0,0
6540,2013,6138,1699,137,12,1,0
6550,2000,6176,1655,162,7,0,0
6560,1990,6182,1672,150,6,0,0
6570,1979,6226,1621,164,10,0,0
6580,1997,6181,1655,159,8,0,0
6590,2007,6164,1661,158,10,0,0
6600,1968,6208,1690,124,10,0,0
6610,1954,6249,1647,143,7,0,0
6620,1932,6286,1640,134,8,0,0
6630,1920,6319,1611,141,9,0,0
6640,1924,6315,1605,149,7,0,0
6650,1937,6290,1616,150,7,0,0
6660,1928,6329,1571,160,11,1,0
6670,1924,6300,1641,122,13,0,0
6680,1948,6249,1666,129,8,0,0
6690,1968,6205,1695,123,9,0,0
6700,1988,6183,1681,137,11,0,0
6710,1965,6237,1646,137,15,0,0
6720,1968,6242,1623,156,11,0,0
6730,1987,6190,1668,146,9,0,0
6740,2014,6131,1706,140,8,1,0
6750,1994,6160,1708,128,10,0,0
6760,1972,6199,1696,123,10,0,0
6770,1958,6247,1643,141,11,0,0
6780,1968,6229,1649,144,9,1,0
6790,1973,6216,1661,138,12,0,0
6800,1932,6290,1635,132,11,0,0
6810,1953,6248,1656,132,11,0,0
6820,1963,6235,1653,137,12,0,0
6830,2002,6152,1698,140,8,0,0
6840,1978,6196,1682,136,8,0,0
6850,1975,6210,1664,142,9,0,0
6860,1985,6183,1692,127,13,0,0
6870,1992,6174,1685,140,9,0,0
6880,1989,6186,1670,146,9,0,0
6890,2009,6164,1652,168,7,0,0
6900,1997,6180,1659,154,10,0,0
6910,1973,6219,1655,141,12,0,0
6920,1999,6169,1678,141,13,0,0
6930,2014,6143,1688,140,14,1,0
6940,2005,6168,1666,145,15,1,0
