iteration,0,1,2,3,4,5,6,7,8
4110,253286,206890,149721,46886,3081,130,6,0,0
4120,253444,206555,149879,46948,3032,137,5,0,0
4130,253334,206704,149875,46932,3028,124,3,0,0
4140,253156,206978,149812,46946,2988,112,8,0,0
4150,253336,206562,150116,46851,3026,105,4,0,0
4160,253291,206636,150220,46623,3100,125,5,0,0
4170,252910,207274,149996,46679,3014,122,4,1,0
4180,253089,207023,149940,46834,2979,131,4,0,0
4190,253380,206630,149930,46857,3085,109,9,0,0
4200,253248,206790,149939,46894,3001,122,6,0,0
4210,253345,206700,149783,47060,3009,100,3,0,0
4220,253109,207063,149809,46906,2974,129,10,0,0
4230,253254,206840,149848,46912,3010,128,8,0,0
4240,253171,206847,150120,46654,3094,109,5,0,0
4250,253281,206695,150017,46900,2970,131,6,0,0
4260,253155,206923,149894,46940,2975,109,4,0,0
4270,253338,206546,150170,46790,3040,112,4,0,0
4280,253385,206571,149887,47095,2944,114,4,0,0
4290,253379,206632,149879,46964,3018,122,6,0,0
4300,253469,206523,149804,47075,3006,118,5,0,0
4310,253452,206454,149985,46999,2978,125,7,0,0
4320,253321,206720,149854,46980,2997,124,4,0,0
4330,253381,206647,149808,47045,2999,114,6,0,0
4340,253611,206374,149774,47039,3061,130,10,1,0
4350,253718,206138,149880,47083,3060,114,6,1,0
4360,253307,206697,149901,47014,2954,120,6,1,0
4370,253356,206583,150032,46885,3026,114,4,0,0
4380,253142,206907,150078,46681,3071,116,5,0,0
4390,253424,206492,150071,46821,3066,117,9,0,0
4400,253300,206652,150147,46693,3075,125,6,2,0
4410,253606,206333,149856,47011,3058,126,10,0,0
4420,253391,206506,150094,46874,2995,136,4,0,0
4430,253469,206579,149814,46905,3093,134,6,0,0
4440,253393,206678,149797,46935,3070,119,8,0,0
4450,253476,206508,149931,46852,3095,134,4,0,0
4460,253698,206180,149943,46905,3157,111,6,0,0
4470,253887,205937,149891,46992,3163,127,3,0,0
4480,253533,206421,149827,47087,3001,126,5,0,0
4490,253481,206443,149983,46907,3064,118,4,0,0
4500,253438,206457,150086,46842,3047,124,5,1,0
4510,253524,206308,150128,46845,3078,113,4,0,0
4520,253469,206549,149871,46884,3085,135,7,0,0
4530,253495,206549,149755,47000,3070,125,6,0,0
4540,253306,206745,149837,47005,2975,126,6,0,0
4550,253396,206667,149748,47040,3033,111,5,0,0
4560,253461,206600,149802,46874,3143,118,2,0,0
4570,253185,206995,149766,46878,3048,121,7,0,0
4580,253325,206843,149678,46930,3117,100,6,1,0
4590,253259,206879,149812,46843,3073,128,6,0,0
4600,253201,206960,149815,46826,3062,132,4,0,0
4610,253479,206502,149911,46897,3075,131,5,0,0
4620,253660,206304,149877,46846,3165,144,4,0,0
4630,253696,206249,149838,46962,3093,155,7,0,0
4640,253672,206274,149810,47028,3065,144,7,0,0
4650,253650,206249,149911,46985,3059,139,6,1,0
4660,253349,206664,149903,46945,3003,133,3,0,0
4670,253412,206541,150017,46842,3048,133,7,0,0
4680,253442,206564,149919,46840,3105,123,6,1,0
4690,253450,206607,149826,46871,3108,132,6,0,0
4700,253362,206722,149749,47016,3027,120,4,0,0
4710,253134,207019,149830,46890,2991,129,7,0,0
4720,253041,207064,149993,46782,3000,116,4,0,0
4730,253308,206721,149911,46911,3025,120,4,0,0
4740,252999,207097,150015,46817,2939,132,1,0,0
4750,252934,207195,149985,46832,2936,113,5,0,0
4760,253117,206994,149944,46801,3008,133,3,0,0
4770,253229,206932,149768,46904,3020,142,5,0,0
4780,253430,206486,149995,46955,3013,119,2,0,0
4790,253694,206150,149917,47067,3049,119,4,0,0
4800,253482,206518,149861,46930,3080,124,5,0,0
4810,253545,206430,149833,46991,3079,117,5,0,0
4820,253338,206865,149601,46984,3080,131,1,0,0
4830,253356,206622,149952,46931,3019,116,3,1,0
4840,253213,206831,149989,46799,3049,116,3,0,0
4850,253172,206947,149829,46934,3002,111,5,0,0
4860,253161,206891,149969,46864,3003,106,5,1,0
4870,253296,206772,149869,46907,3015,137,4,0,0
4880,253233,206897,149866,46788,3077,135,4,0,0
4890,253112,207098,149739,46922,2992,133,3,1,0
4900,253368,206630,149948,46900,3002,146,6,0,0
4910,253234,206835,149941,46831,3010,144,5,0,0
4920,253128,207090,149806,46737,3111,125,3,0,0
4930,253078,206997,150035,46749,3022,116,3,0,0
4940,253006,207224,149814,46817,3002,134,2,1,0
4950,252835,207481,149818,46716,3018,129,3,0,0
4960,252854,207414,149814,46824,2987,104,3,0,0
4970,252996,207109,149992,46823,2967,109,3,1,0
4980,252924,207395,149761,46731,3060,124,5,0,0
4990,252945,207318,149793,46806,3014,122,2,0,0
5000,253086,207053,149831,46949,2969,110,2,0,0
5010,253018,207283,149655,46883,3051,106,4,0,0
5020,253156,206932,149904,46907,2970,127,4,0,0
5030,253241,206894,149776,46945,3008,129,7,0,0
5040,253334,206798,149737,46937,3060,127,7,0,0
5050,253374,206625,149876,46997,3015,107,5,1,0
5060,253355,206715,149787,47012,2986,139,6,0,0
5070,253215,206955,149772,46872,3054,124,7,1,0
5080,253262,206764,150016,46766,3064,118,10,0,0
5090,253267,206808,149882,46869,3055,113,6,0,0
5100,252943,207374,149741,46751,3071,113,7,0,0
5110,252975,207277,149796,46814,3005,129,4,0,0
5120,252867,207375,149860,46812,2966,115,5,0,0
5130,253200,206809,150029,46853,2976,129,3,1,0
5140,253208,206868,149859,46983,2947,133,2,0,0
5150,253211,206820,150001,46826,3014,124,4,0,0
5160,253161,207057,149727,46869,3054,126,6,0,0
5170,253380,206682,149802,46979,3012,141,4,0,0
5180,253660,206279,149893,46886,3140,135,7,0,0
5190,253682,206360,149696,46959,3151,146,5,1,0
5200,253589,206527,149520,47193,3006,161,3,1,0
5210,253350,206697,149840,46970,3013,120,9,1,0
5220,253498,206481,149860,46987,3037,132,5,0,0
5230,253507,206564,149756,46915,3117,135,6,0,0
5240,253521,206498,149814,46946,3073,144,4,0,0
5250,253525,206566,149710,46926,3134,134,5,0,0
5260,253140,206955,149924,46849,3014,115,2,1,0
5270,253155,206976,149902,46784,3055,121,6,1,0
5280,253288,206827,149788,46926,3042,124,4,1,0
5290,253210,207030,149609,46986,3034,128,3,0,0
5300,253163,206809,150170,46726,2993,133,6,0,0
5310,253026,207134,149872,46888,2946,130,4,0,0
5320,253093,207071,149880,46786,3044,121,5,0,0
5330,253333,206868,149559,47095,3001,140,3,1,0
5340,253138,207023,149733,47050,2924,127,5,0,0
5350,253260,206801,149854,46962,3015,103,5,0,0
5360,253219,206882,149829,46950,2997,116,7,0,0
5370,253408,206668,149829,46845,3117,127,6,0,0
