iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-MB,aggDist-BDAY,aggDist-BYEAR,aggDist-SEX,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4
2060,1545621261981,406239,-1.303776578e+07,8139,15776,9641,3290,624125,34918,943,14,0
2070,1545621273425,406208,-1.303835276e+07,8137,15776,9563,3501,624019,34995,976,10,0
2080,1545621285319,406626,-1.303443997e+07,7912,15547,9715,3470,624348,34671,970,11,0
2090,1545621296601,406526,-1.303715256e+07,7985,15776,9748,3426,624089,34898,1002,11,0
2100,1545621309280,406383,-1.303824383e+07,7911,16124,9657,3336,623983,35017,989,11,0
2110,1545621321026,406541,-1.303728905e+07,7979,15774,9692,3461,624060,34986,942,12,0
2120,1545621332977,406648,-1.303344917e+07,7636,15955,9635,3369,624370,34676,943,11,0
2130,1545621344575,406501,-1.303468509e+07,7745,15923,9594,3517,624164,34906,917,13,0
2140,1545621356790,406507,-1.303487935e+07,7935,15758,9507,3452,624285,34786,921,8,0
2150,1545621368235,406708,-1.303696040e+07,7993,15713,9721,3488,624126,34852,1003,19,0
2160,1545621380141,406795,-1.303270770e+07,7760,15692,9579,3484,624426,34639,929,6,0
2170,1545621392403,406662,-1.303212089e+07,7951,15507,9445,3446,624569,34526,892,13,0
2180,1545621404074,407002,-1.302518799e+07,7244,15731,9479,3375,625100,33984,903,13,0
2190,1545621415565,406740,-1.303327004e+07,7512,16097,9696,3342,624327,34708,956,9,0
2200,1545621428441,406558,-1.303498944e+07,7825,15898,9618,3336,624297,34734,964,5,0
2210,1545621440584,406688,-1.303246895e+07,7709,15841,9471,3430,624534,34491,965,10,0
2220,1545621452490,406394,-1.303579642e+07,7979,15878,9448,3454,624265,34731,984,20,0
2230,1545621464388,406721,-1.303346380e+07,7678,15972,9601,3360,624397,34608,982,13,0
2240,1545621475568,406459,-1.303475646e+07,7642,16189,9476,3441,624194,34876,918,12,0
2250,1545621486542,406685,-1.303385584e+07,7633,16120,9437,3450,624319,34733,937,11,0
2260,1545621498657,406466,-1.303765515e+07,7914,16000,9567,3525,624020,34965,1004,11,0
2270,1545621510375,406453,-1.304082536e+07,8111,16200,9491,3460,623766,35217,1006,11,0
2280,1545621521607,406622,-1.303758317e+07,8078,16115,9353,3353,624086,34933,977,4,0
2290,1545621533628,406893,-1.303254659e+07,7787,15877,9277,3529,624504,34527,964,5,0
2300,1545621546409,406777,-1.303123272e+07,7589,16236,9136,3316,624662,34407,923,8,0
2310,1545621558556,406777,-1.302661687e+07,7150,16177,9150,3534,624878,34242,871,9,0
