iteration,0,1,2,3,4,5,6,7,8,9,10
2910,29856,8781,9650,6679,1706,322,61,17,5,0,0
2920,29813,8873,9574,6718,1697,322,62,13,4,1,0
2930,29842,8843,9598,6650,1737,324,64,16,3,0,0
2940,29896,8738,9659,6626,1742,340,59,15,2,0,0
2950,29842,8765,9728,6612,1741,300,70,16,3,0,0
2960,29886,8770,9625,6591,1830,302,59,12,2,0,0
2970,29943,8675,9665,6623,1751,339,68,9,3,1,0
2980,29866,8786,9709,6516,1789,319,73,16,3,0,0
2990,29966,8620,9680,6640,1772,321,65,10,3,0,0
3000,29925,8669,9704,6608,1773,321,65,7,5,0,0
