iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-age,aggDist-gender,aggDist-zip_code,aggDist-first_name,aggDist-middle_name,aggDist-last_name,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
1440,1545177208743,305425,-1.830741581e+07,3225,1210,245673,10205,81831,48304,139801,232529,69633,6032,138,1,0
1450,1545177226774,305299,-1.831710069e+07,3260,1245,245827,10066,82797,48839,139527,231762,70416,6278,149,2,0
1460,1545177246323,305137,-1.832132584e+07,3261,1236,246003,10622,82374,48950,138918,232532,70288,6248,146,2,0
1470,1545177264615,304959,-1.832215159e+07,3271,1276,245920,10180,82986,48833,139205,232048,70401,6308,168,4,0
1480,1545177283040,304877,-1.832514090e+07,3311,1206,246174,10250,83078,48900,139400,231086,71253,6256,136,3,0
1490,1545177301157,304792,-1.832398886e+07,3298,1209,245833,10210,82551,48961,139314,231920,70696,6069,132,3,0
1500,1545177320143,304658,-1.833032462e+07,3299,1293,246469,10718,82929,49314,138374,232157,71094,6359,150,0,0
1510,1545177338189,304533,-1.832800052e+07,3254,1254,246180,10483,82923,49260,138712,232131,70796,6351,142,2,0
1520,1545177356718,304383,-1.833909556e+07,3232,1309,246928,10531,83957,49194,137851,232088,71668,6382,144,1,0
1530,1545177375094,304297,-1.833743916e+07,3335,1181,246171,10761,84350,49191,138078,231811,71719,6365,160,1,0
1540,1545177393912,304110,-1.833678206e+07,3341,1278,246166,10785,84118,49469,137882,232057,71648,6385,161,1,0
1550,1545177412271,304030,-1.833609931e+07,3240,1245,245988,10270,84243,49691,138224,231759,71698,6291,161,1,0
1560,1545177431063,303899,-1.834366902e+07,3271,1186,246292,10644,83755,50059,137925,231874,71835,6339,159,2,0
1570,1545177449295,303814,-1.834331824e+07,3310,1220,245791,10612,84959,50015,137910,231345,72229,6497,152,1,0
1580,1545177467809,303686,-1.834810775e+07,3320,1221,246062,10325,85166,49943,137711,231622,72162,6465,174,0,0
1590,1545177486157,303577,-1.835347871e+07,3363,1247,246293,10719,85647,50225,137274,231225,72795,6682,157,1,0
1600,1545177505229,303542,-1.835685971e+07,3407,1254,246362,10670,85665,50313,137082,231289,73059,6553,150,1,0
1610,1545177523749,303411,-1.835896309e+07,3374,1294,246598,10743,85826,50054,136709,232015,72527,6712,171,0,0
1620,1545177542315,303307,-1.835993515e+07,3405,1250,247293,10680,85993,49439,136451,232166,72805,6566,144,2,0
1630,1545177560436,303215,-1.835925164e+07,3416,1247,246616,10930,86193,50032,136698,231417,73206,6647,166,0,0
1640,1545177579082,303117,-1.836010390e+07,3324,1237,246176,10746,87316,50150,136591,231169,73493,6732,147,2,0
1650,1545177597409,303037,-1.836206262e+07,3350,1236,246519,10612,85733,50114,137095,231400,72924,6544,171,0,0
1660,1545177616318,302944,-1.836258291e+07,3348,1262,246742,10865,86631,50236,136769,230620,73929,6658,158,0,0
1670,1545177634698,302904,-1.835731577e+07,3372,1273,246316,10707,86133,50023,137157,231029,73217,6566,162,3,0
1680,1545177653091,302788,-1.836461788e+07,3380,1326,246045,10961,87446,49854,136617,231173,73358,6822,163,1,0
1690,1545177671279,302679,-1.837021195e+07,3407,1192,246916,10653,87738,50259,135913,231418,73838,6792,170,3,0
1700,1545177690907,302586,-1.837149282e+07,3367,1157,246454,11120,87885,50460,136226,230602,74252,6879,175,0,0
1710,1545177708951,302475,-1.838226896e+07,3393,1230,247007,11143,88003,51134,135505,230676,74791,6997,164,1,0
1720,1545177727563,302379,-1.837832143e+07,3364,1253,246910,11079,87832,51177,135349,231297,74340,6957,188,3,0
1730,1545177746008,302327,-1.838914105e+07,3492,1276,246378,11361,88530,51433,135564,230267,74912,7185,206,0,0
1740,1545177764752,302262,-1.838713125e+07,3473,1327,246632,11632,88094,51287,135251,230714,74949,7048,171,1,0
1750,1545177783098,302119,-1.839346606e+07,3450,1197,246870,11466,89428,51073,134716,230918,75100,7234,166,0,0
1760,1545177801459,302023,-1.838928447e+07,3467,1169,246714,11305,88588,51311,134912,231108,75058,6895,160,1,0
1770,1545177819737,301942,-1.839380172e+07,3470,1178,247359,11380,89221,50947,134449,231278,75131,7091,183,2,0
1780,1545177838232,301825,-1.839225988e+07,3486,1261,247205,11121,89528,50991,134782,230374,75882,6930,166,0,0
1790,1545177856420,301749,-1.839273169e+07,3513,1304,246658,11093,88954,50992,135108,230850,75045,6953,175,3,0
1800,1545177875566,301675,-1.839316376e+07,3513,1218,246902,11126,89434,50815,134950,230745,75272,6952,212,3,0
1810,1545177893793,301610,-1.839411817e+07,3484,1212,246892,11394,89394,51103,134324,231528,75075,7030,174,3,0
1820,1545177912589,301606,-1.839061773e+07,3501,1235,246637,11289,89157,51569,134910,230524,75410,7116,174,0,0
1830,1545177930891,301519,-1.839345410e+07,3466,1263,246674,11263,89171,51153,134890,230904,75111,7055,171,3,0
1840,1545177949643,301458,-1.839676978e+07,3437,1191,246671,11291,89176,51262,134878,230875,75183,7007,189,2,0
1850,1545177967993,301444,-1.839938503e+07,3502,1257,246555,11145,89949,51578,134705,230477,75528,7245,177,2,0
1860,1545177987484,301437,-1.840537886e+07,3510,1270,246862,11587,89808,51790,134384,230357,75895,7313,184,1,0
1870,1545178005703,301397,-1.840239693e+07,3481,1171,246495,11642,90301,51771,134534,230102,75924,7386,187,1,0
1880,1545178024335,301313,-1.840153312e+07,3436,1199,247089,11440,90723,51248,134026,230670,76021,7246,170,1,0
1890,1545178042444,301237,-1.840949733e+07,3529,1288,246837,11814,91066,51714,133534,230615,76498,7312,174,1,0
1900,1545178061701,301196,-1.841809842e+07,3497,1274,247244,11905,91257,51800,133554,230080,76810,7485,203,2,0
1910,1545178079985,301151,-1.840489510e+07,3420,1152,246777,11331,91042,51595,134167,230255,76269,7249,193,1,0
1920,1545178098856,301060,-1.840818184e+07,3558,1137,247146,11802,90571,51349,133589,231111,76009,7267,157,1,0
1930,1545178117270,301047,-1.840828895e+07,3440,1131,247247,11739,90928,51558,133477,230792,76526,7158,180,1,0
1940,1545178135404,300964,-1.841191201e+07,3530,1177,247055,11684,91515,52049,133371,230209,77051,7313,190,0,0
1950,1545178153580,300859,-1.841324288e+07,3506,1246,246964,11771,91858,51944,133201,230273,77166,7294,198,2,0
1960,1545178172206,300762,-1.842088302e+07,3577,1198,246891,11897,92500,51891,132701,230701,77143,7391,196,2,0
1970,1545178190514,300705,-1.841610457e+07,3481,1294,246418,11821,92055,52405,133394,229815,77321,7401,201,2,0
1980,1545178208899,300636,-1.842139800e+07,3559,1317,246926,12052,92360,52486,132890,229926,77361,7778,177,2,0
1990,1545178227020,300565,-1.841826938e+07,3515,1227,246801,11763,92101,52171,133369,229709,77498,7359,199,0,0
2000,1545178246028,300528,-1.842225323e+07,3578,1203,246369,12377,92753,51963,133377,229194,77860,7484,218,1,0
2010,1545178264044,300449,-1.842731414e+07,3640,1263,247642,11957,92399,52311,132326,230408,77598,7600,202,0,0
2020,1545178282576,300405,-1.842332551e+07,3544,1304,246676,11671,92835,52403,132779,230259,77311,7588,197,0,0
2030,1545178300821,300309,-1.842937785e+07,3645,1313,247411,11915,92170,52113,132363,230883,77183,7502,203,0,0
2040,1545178319283,300210,-1.843172637e+07,3620,1248,247228,11918,92400,52161,132726,230194,77454,7568,191,1,0
2050,1545178337511,300166,-1.843285083e+07,3553,1178,246787,12141,93166,52577,132410,230171,77648,7686,218,1,0
2060,1545178355836,300160,-1.842378115e+07,3688,1173,246459,11792,93175,52133,133141,229593,77585,7604,210,1,0
2070,1545178374009,300094,-1.842635450e+07,3585,1257,246816,12026,92373,52732,132794,230027,77386,7722,201,4,0
2080,1545178392424,300045,-1.843362437e+07,3591,1163,247366,11941,93315,51982,132091,230723,77538,7573,205,4,0
2090,1545178410471,300014,-1.844070850e+07,3648,1266,247846,11948,93702,52609,131685,229912,78727,7590,217,3,0
2100,1545178429341,299946,-1.843339757e+07,3696,1114,247221,11825,93751,52588,132303,229487,78531,7608,203,2,0
2110,1545178447623,299940,-1.843823278e+07,3698,1133,246797,12104,93770,52822,132341,229293,78649,7673,176,2,0
2120,1545178466086,299848,-1.843600070e+07,3661,1156,247608,12217,93255,52447,131838,230260,78203,7656,175,2,0
2130,1545178484197,299798,-1.843019006e+07,3651,1179,246273,12306,93650,52552,132538,229724,77939,7727,202,4,0
2140,1545178502519,299736,-1.843999996e+07,3612,1195,247162,12249,94187,52848,131820,229557,78786,7762,207,2,0
2150,1545178521027,299621,-1.844300309e+07,3621,1174,247281,12595,94614,52622,131516,229652,78851,7909,204,2,0
2160,1545178539506,299592,-1.844475633e+07,3665,1139,246915,12130,94550,53473,131619,229470,78930,7921,191,3,0
2170,1545178557679,299545,-1.843602856e+07,3676,1247,246624,12178,94194,52835,132149,229398,78597,7798,192,0,0
2180,1545178575935,299571,-1.844344824e+07,3666,1108,246898,12300,93904,52972,132115,229396,78645,7751,226,1,0
2190,1545178594263,299479,-1.844178239e+07,3732,1174,247130,11899,93934,53295,131773,229725,78673,7760,202,1,0
2200,1545178613025,299425,-1.844608457e+07,3747,1150,247239,12108,94297,52702,131319,230457,78493,7660,205,0,0
2210,1545178631601,299400,-1.845175374e+07,3687,1158,247472,12253,94483,52550,131509,229812,78858,7746,208,1,0
2220,1545178650161,299353,-1.844217329e+07,3646,1133,247330,12211,94583,52473,131630,229779,78763,7779,181,2,0
2230,1545178668068,299260,-1.844415254e+07,3630,1358,246619,12631,94511,52747,132108,228760,79286,7758,220,2,0
2240,1545178686733,299286,-1.844748890e+07,3667,1148,246761,12255,95602,53191,131503,229061,79348,8021,201,0,0
2250,1545178704793,299271,-1.844596821e+07,3514,1345,247070,12577,95344,52274,131329,229708,79103,7767,226,1,0
2260,1545178723296,299195,-1.845512178e+07,3651,1252,247597,12867,94593,52789,131125,229549,79377,7887,195,1,0
2270,1545178741647,299177,-1.845658823e+07,3662,1170,246830,12275,95938,53810,130873,229200,79900,7961,198,2,0
2280,1545178760440,299113,-1.845099693e+07,3702,1125,246787,12579,95219,52905,131351,229559,79142,7856,224,2,0
2290,1545178778693,299063,-1.845448147e+07,3736,1279,247343,12725,94878,53260,130910,229530,79622,7844,225,3,0
2300,1545178797721,299005,-1.845767705e+07,3766,1191,247449,12510,95918,52619,130678,229723,79698,7807,227,1,0
2310,1545178816129,299001,-1.845611532e+07,3733,1133,247193,12627,95497,53244,130971,229184,79899,7875,205,0,0
