iteration,0,1,2,3,4,5,6,7,8,9,10,11
213350,162430,136047,138043,10567,942,98,7,0,0,0,0,0
213360,162409,135999,138180,10517,929,92,8,0,0,0,0,0
213370,162423,135989,138185,10483,956,87,10,1,0,0,0,0
213380,162359,136061,138202,10478,945,79,10,0,0,0,0,0
213390,162341,136099,138195,10456,950,81,12,0,0,0,0,0
213400,162350,136054,138259,10425,955,79,12,0,0,0,0,0
213410,162428,135962,138214,10488,946,81,14,1,0,0,0,0
213420,162450,135913,138246,10486,937,89,13,0,0,0,0,0
213430,162496,135821,138275,10522,922,81,15,2,0,0,0,0
213440,162483,135823,138322,10476,930,82,17,1,0,0,0,0
213450,162345,136055,138255,10459,927,76,15,2,0,0,0,0
213460,162376,135994,138298,10445,915,89,15,2,0,0,0,0
213470,162371,136022,138245,10476,922,83,14,1,0,0,0,0
213480,162358,136005,138316,10436,925,77,15,2,0,0,0,0
213490,162387,135984,138264,10485,922,76,13,3,0,0,0,0
213500,162404,136014,138161,10536,922,82,13,2,0,0,0,0
213510,162319,136137,138175,10474,938,75,14,2,0,0,0,0
213520,162313,136113,138217,10483,919,74,13,2,0,0,0,0
213530,162282,136187,138177,10458,945,73,10,2,0,0,0,0
213540,162267,136164,138254,10440,918,78,11,2,0,0,0,0
213550,162290,136081,138366,10378,926,78,12,3,0,0,0,0
213560,162300,136133,138212,10486,913,75,13,2,0,0,0,0
213570,162278,136171,138211,10454,940,64,14,1,1,0,0,0
213580,162278,136189,138187,10454,937,74,14,1,0,0,0,0
213590,162272,136185,138225,10415,946,77,13,1,0,0,0,0
213600,162277,136140,138297,10392,937,74,13,4,0,0,0,0
213610,162287,136114,138291,10440,907,82,11,2,0,0,0,0
213620,162271,136150,138273,10420,934,74,12,0,0,0,0,0
213630,162265,136147,138298,10396,948,69,11,0,0,0,0,0
213640,162319,136068,138283,10449,935,67,13,0,0,0,0,0
213650,162366,136017,138248,10485,935,72,11,0,0,0,0,0
213660,162340,136031,138310,10433,932,72,16,0,0,0,0,0
213670,162309,136085,138283,10437,938,72,10,0,0,0,0,0
213680,162286,136140,138227,10486,909,70,16,0,0,0,0,0
213690,162309,136142,138167,10493,946,67,10,0,0,0,0,0
213700,162347,136057,138223,10493,929,74,11,0,0,0,0,0
213710,162392,135985,138252,10478,937,77,13,0,0,0,0,0
213720,162365,136047,138208,10484,940,81,9,0,0,0,0,0
213730,162370,136049,138188,10502,934,79,12,0,0,0,0,0
213740,162388,136010,138194,10526,932,75,8,1,0,0,0,0
213750,162406,135933,138296,10485,925,80,9,0,0,0,0,0
213760,162442,135836,138384,10446,945,74,7,0,0,0,0,0
