iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
2750,29396,9174,9982,6606,1564,280,63,9,3,0,0,0,0
2760,29405,9199,9958,6568,1572,294,70,8,3,0,0,0,0
2770,29405,9209,9926,6610,1551,294,64,16,2,0,0,0,0
2780,29427,9183,9917,6601,1584,290,57,15,3,0,0,0,0
2790,29471,9132,9930,6552,1631,284,59,13,5,0,0,0,0
2800,29450,9123,9953,6590,1612,278,59,10,2,0,0,0,0
2810,29434,9099,10054,6546,1575,294,63,12,0,0,0,0,0
2820,29400,9174,9975,6616,1539,300,62,11,0,0,0,0,0
2830,29419,9177,9911,6633,1586,285,53,12,1,0,0,0,0
2840,29463,9153,9893,6600,1600,283,73,11,1,0,0,0,0
2850,29488,9176,9807,6583,1667,279,64,13,0,0,0,0,0
2860,29485,9169,9808,6609,1663,260,69,13,1,0,0,0,0
2870,29491,9133,9816,6688,1589,286,57,16,1,0,0,0,0
2880,29469,9152,9877,6584,1649,272,56,17,1,0,0,0,0
2890,29480,9123,9853,6675,1591,287,54,12,2,0,0,0,0
2900,29506,9033,9931,6690,1567,269,68,13,0,0,0,0,0
2910,29515,9096,9855,6654,1582,291,65,16,3,0,0,0,0
2920,29410,9205,9937,6570,1588,283,70,11,3,0,0,0,0
2930,29472,9144,9895,6587,1612,287,65,13,0,2,0,0,0
2940,29468,9196,9836,6590,1605,297,66,15,3,1,0,0,0
2950,29478,9104,9948,6568,1615,285,68,8,3,0,0,0,0
2960,29464,9123,9936,6597,1602,272,62,17,4,0,0,0,0
2970,29557,9024,9835,6720,1587,271,64,16,3,0,0,0,0
2980,29471,9148,9867,6624,1605,289,58,11,3,1,0,0,0
2990,29490,9151,9824,6616,1633,294,59,7,2,1,0,0,0
3000,29472,9111,9901,6664,1570,278,68,11,1,1,0,0,0
3010,29522,9077,9878,6639,1578,307,55,19,1,1,0,0,0
3020,29438,9176,9887,6636,1582,280,59,15,4,0,0,0,0
3030,29357,9246,9952,6593,1584,277,52,13,3,0,0,0,0
3040,29431,9194,9872,6625,1606,276,56,12,5,0,0,0,0
3050,29430,9174,9923,6619,1552,303,60,12,3,1,0,0,0
3060,29414,9194,9898,6643,1578,274,59,14,3,0,0,0,0
3070,29384,9302,9768,6692,1583,277,56,11,3,1,0,0,0
3080,29380,9267,9865,6625,1589,271,67,12,1,0,0,0,0
3090,29364,9287,9846,6649,1587,273,60,10,1,0,0,0,0
3100,29473,9131,9889,6613,1612,283,68,6,2,0,0,0,0
