iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2030,21913,6702,5487,2874,1433,717,350,166,60,28,11,1,0,1,0,0,0,0,0
2040,21905,6747,5370,2953,1491,678,335,158,54,29,19,4,0,0,0,0,0,0,0
2050,21871,6649,5553,2945,1425,738,320,149,57,24,9,2,0,0,0,0,1,0,0
2060,21834,6743,5520,2939,1404,710,334,166,52,25,10,3,2,1,0,0,0,0,0
2070,21889,6710,5502,2861,1467,734,345,131,52,27,18,3,3,1,0,0,0,0,0
2080,21957,6696,5420,2882,1427,760,344,152,56,25,17,3,3,1,0,0,0,0,0
2090,21889,6766,5382,2943,1479,698,328,147,59,31,10,5,4,1,1,0,0,0,0
2100,21920,6664,5494,2883,1456,758,324,137,61,31,10,3,1,1,0,0,0,0,0
2110,21872,6748,5382,2964,1510,679,346,155,56,20,7,3,1,0,0,0,0,0,0
2120,21915,6755,5338,2965,1469,701,322,175,65,25,9,4,0,0,0,0,0,0,0
2130,21884,6720,5471,2897,1476,710,329,158,50,30,12,6,0,0,0,0,0,0,0
2140,21823,6763,5486,2934,1472,685,327,156,51,36,5,3,2,0,0,0,0,0,0
2150,21929,6632,5451,2958,1487,727,340,120,51,25,16,5,2,0,0,0,0,0,0
2160,21971,6616,5401,2964,1480,737,337,144,58,23,8,2,1,1,0,0,0,0,0
2170,21915,6711,5365,2961,1491,723,339,151,55,19,8,4,0,0,1,0,0,0,0
2180,21883,6736,5421,2919,1478,714,359,141,59,22,7,3,1,0,0,0,0,0,0
2190,21870,6752,5424,2917,1503,659,381,146,63,17,5,4,0,2,0,0,0,0,0
2200,21908,6795,5303,2895,1536,722,335,147,71,19,8,3,1,0,0,0,0,0,0
2210,21872,6748,5409,2941,1481,724,331,132,60,35,6,3,1,0,0,0,0,0,0
2220,21895,6664,5457,3011,1452,672,333,166,53,26,9,4,1,0,0,0,0,0,0
2230,21886,6799,5342,2926,1477,717,339,151,68,27,10,1,0,0,0,0,0,0,0
2240,21815,6772,5441,3013,1433,692,336,143,62,23,7,5,0,1,0,0,0,0,0
2250,21856,6694,5562,2884,1491,654,341,156,64,29,8,2,1,0,1,0,0,0,0
2260,21865,6740,5446,2958,1475,659,346,131,81,28,10,3,0,0,0,0,1,0,0
2270,21820,6708,5539,2945,1488,661,358,136,49,24,10,4,0,1,0,0,0,0,0
2280,21876,6738,5405,2968,1453,727,332,145,69,19,8,2,1,0,0,0,0,0,0
2290,21855,6775,5441,2885,1500,702,326,157,65,27,9,0,0,1,0,0,0,0,0
2300,21875,6745,5364,3005,1491,682,345,140,57,25,10,1,1,1,1,0,0,0,0
2310,21800,6841,5394,2905,1535,722,315,144,49,28,5,4,0,1,0,0,0,0,0
2320,21793,6857,5454,2870,1472,723,329,140,57,33,11,1,2,1,0,0,0,0,0
2330,21862,6708,5477,2940,1488,707,320,136,63,30,8,2,1,0,1,0,0,0,0
2340,21811,6845,5464,2833,1486,720,333,144,64,26,12,5,0,0,0,0,0,0,0
2350,21905,6702,5404,2967,1460,733,337,133,63,27,7,3,2,0,0,0,0,0,0
2360,21908,6741,5386,2919,1479,738,315,148,61,34,8,5,1,0,0,0,0,0,0
2370,21920,6698,5413,2910,1497,744,320,139,61,22,13,3,1,1,1,0,0,0,0
2380,21925,6688,5444,2886,1492,732,325,151,56,26,9,6,3,0,0,0,0,0,0
2390,21893,6760,5414,2882,1484,724,331,143,69,27,8,5,3,0,0,0,0,0,0
2400,21963,6720,5355,2850,1569,674,355,141,69,31,9,5,2,0,0,0,0,0,0
2410,22018,6568,5393,3019,1448,699,321,164,70,24,14,5,0,0,0,0,0,0,0
2420,21949,6701,5363,2958,1459,717,332,163,53,28,12,5,2,1,0,0,0,0,0
2430,21857,6821,5351,2956,1432,758,316,156,49,27,13,5,1,0,1,0,0,0,0
2440,21869,6744,5416,2978,1472,696,311,147,63,20,19,4,1,2,1,0,0,0,0
2450,21993,6647,5349,2963,1469,710,354,165,51,26,14,2,0,0,0,0,0,0,0
2460,21907,6755,5322,2970,1483,733,324,150,63,24,9,3,0,0,0,0,0,0,0
2470,21885,6761,5395,2913,1490,715,333,145,67,27,8,2,2,0,0,0,0,0,0
