iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-IREG,aggDist-SESSO,aggDist-ANASCI,aggDist-STUDIO,aggDist-PAR,aggDist-STACIV,aggDist-PERC,aggDist-CFDIC,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6,recDistortion-7,recDistortion-8
1300,1540808193147,17839,-5.778367976e+05,7869,579,125,312,61,149,317,75,30583,8837,319,4,0,0,0,0,0
1310,1540808197493,17816,-5.768133642e+05,7723,519,113,364,41,160,321,111,30706,8728,303,6,0,0,0,0,0
1320,1540808202775,17781,-5.768389315e+05,7650,465,172,353,50,133,365,98,30772,8661,305,5,0,0,0,0,0
1330,1540808206882,17936,-5.758567286e+05,7559,448,147,275,59,162,379,85,30908,8559,273,3,0,0,0,0,0
1340,1540808211927,17888,-5.761859982e+05,7568,482,168,303,71,148,352,83,30888,8537,316,2,0,0,0,0,0
1350,1540808216425,17788,-5.765964518e+05,7679,517,165,276,54,123,344,78,30786,8679,277,1,0,0,0,0,0
1360,1540808221476,17758,-5.771288774e+05,7747,531,169,257,55,158,391,69,30691,8731,317,4,0,0,0,0,0
1370,1540808225677,17813,-5.769824935e+05,7782,513,159,272,53,181,335,83,30667,8776,298,2,0,0,0,0,0
1380,1540808231053,17751,-5.772608898e+05,7815,514,163,311,43,132,305,82,30670,8788,278,7,0,0,0,0,0
1390,1540808235047,17895,-5.755820550e+05,7549,538,148,271,84,168,278,78,30940,8496,303,4,0,0,0,0,0
1400,1540808241248,17921,-5.759177810e+05,7619,513,154,285,68,151,293,90,30870,8581,285,6,1,0,0,0,0
1410,1540808245551,17905,-5.752165562e+05,7514,515,159,267,66,120,275,106,30992,8484,263,4,0,0,0,0,0
1420,1540808250814,17916,-5.750710150e+05,7513,472,153,266,53,145,294,70,31032,8458,251,2,0,0,0,0,0
1430,1540808255089,17859,-5.740884615e+05,7311,510,142,250,71,89,304,76,31262,8215,260,6,0,0,0,0,0
1440,1540808260191,17843,-5.744233747e+05,7417,483,104,246,53,128,308,90,31179,8303,257,4,0,0,0,0,0
1450,1540808264429,17973,-5.737517341e+05,7424,454,139,234,53,171,237,85,31183,8326,231,3,0,0,0,0,0
1460,1540808269770,17864,-5.753100084e+05,7682,462,146,274,49,132,288,63,30897,8596,250,0,0,0,0,0,0
1470,1540808274199,17862,-5.749537441e+05,7594,480,145,286,40,123,236,90,31009,8476,256,2,0,0,0,0,0
1480,1540808279432,17798,-5.756657205e+05,7446,482,162,315,47,157,307,83,31040,8414,282,7,0,0,0,0,0
1490,1540808283450,17800,-5.763422393e+05,7694,516,152,302,57,147,293,67,30810,8641,289,3,0,0,0,0,0
1500,1540808289940,17903,-5.766497709e+05,7651,508,167,305,58,120,346,102,30789,8657,291,6,0,0,0,0,0
1510,1540808294162,17824,-5.760724588e+05,7589,493,144,363,68,120,299,82,30871,8592,274,6,0,0,0,0,0
1520,1540808299416,17807,-5.766709039e+05,7632,563,147,340,76,148,255,84,30789,8669,279,6,0,0,0,0,0
1530,1540808303655,17964,-5.753110720e+05,7405,547,184,362,58,126,257,101,31017,8418,302,6,0,0,0,0,0
1540,1540808308693,17827,-5.769426182e+05,7687,600,150,342,59,121,277,97,30715,8724,303,1,0,0,0,0,0
1550,1540808312954,17830,-5.755723097e+05,7609,524,157,287,61,141,274,64,30925,8521,295,2,0,0,0,0,0
1560,1540808318254,17842,-5.757460622e+05,7574,515,139,293,56,164,283,64,30911,8576,256,0,0,0,0,0,0
1570,1540808322524,17812,-5.759864971e+05,7654,490,139,319,54,146,279,78,30874,8580,288,1,0,0,0,0,0
1580,1540808327629,17835,-5.762617161e+05,7751,480,151,308,69,141,301,70,30780,8658,302,3,0,0,0,0,0
1590,1540808331713,17826,-5.758646322e+05,7632,441,158,323,53,158,305,64,30905,8546,288,4,0,0,0,0,0
1600,1540808338176,17779,-5.751659727e+05,7519,470,131,299,51,151,280,72,31042,8437,256,8,0,0,0,0,0
1610,1540808342282,17798,-5.751422663e+05,7517,508,118,272,62,155,265,84,31014,8483,240,6,0,0,0,0,0
1620,1540808347541,17830,-5.740562059e+05,7366,452,150,278,62,129,266,100,31193,8300,247,3,0,0,0,0,0
1630,1540808351831,17847,-5.743767478e+05,7441,484,104,282,47,179,249,103,31104,8394,240,5,0,0,0,0,0
1640,1540808356559,17828,-5.756666367e+05,7725,496,125,326,33,155,279,87,30789,8683,270,1,0,0,0,0,0
1650,1540808360756,17751,-5.765244662e+05,7757,499,111,318,56,137,351,86,30718,8736,288,1,0,0,0,0,0
1660,1540808366257,17784,-5.761770042e+05,7780,535,120,315,61,108,263,87,30732,8753,258,0,0,0,0,0,0
1670,1540808370723,17849,-5.757241688e+05,7678,454,131,303,68,153,249,75,30898,8580,264,1,0,0,0,0,0
1680,1540808375785,17829,-5.763422139e+05,7946,445,123,303,41,114,262,82,30697,8777,268,1,0,0,0,0,0
1690,1540808379773,17797,-5.750947612e+05,7639,433,129,262,64,120,266,59,31014,8488,239,2,0,0,0,0,0
1700,1540808386133,17706,-5.762801047e+05,7945,511,89,275,45,137,279,70,30668,8803,268,4,0,0,0,0,0
1710,1540808390245,17887,-5.759525398e+05,7831,540,96,272,52,161,235,69,30758,8720,259,6,0,0,0,0,0
1720,1540808395515,17848,-5.755884970e+05,7688,570,111,288,51,129,248,80,30857,8608,277,1,0,0,0,0,0
1730,1540808400031,17780,-5.766612162e+05,7724,533,120,344,61,176,259,83,30736,8716,289,2,0,0,0,0,0
1740,1540808405133,17850,-5.757484497e+05,7580,578,132,317,61,137,303,95,30837,8613,289,4,0,0,0,0,0
1750,1540808409374,17821,-5.760972640e+05,7567,586,164,329,48,131,281,76,30868,8576,291,8,0,0,0,0,0
1760,1540808414698,17805,-5.757929268e+05,7472,549,168,322,58,147,254,128,30944,8503,293,3,0,0,0,0,0
1770,1540808418848,17807,-5.762501818e+05,7527,579,122,357,51,158,311,85,30846,8606,289,2,0,0,0,0,0
1780,1540808423955,17828,-5.758568821e+05,7525,535,119,328,44,124,312,97,30966,8472,303,2,0,0,0,0,0
1790,1540808427954,17877,-5.760145032e+05,7628,487,147,335,58,120,317,84,30857,8599,284,3,0,0,0,0,0
1800,1540808434267,17751,-5.776160701e+05,7875,584,150,298,47,147,326,74,30553,8884,301,5,0,0,0,0,0
1810,1540808438444,17738,-5.770095481e+05,7822,563,129,305,65,129,296,90,30642,8804,296,1,0,0,0,0,0
1820,1540808443719,17859,-5.759864081e+05,7629,603,119,350,51,107,297,87,30798,8648,296,1,0,0,0,0,0
1830,1540808449065,17856,-5.759744734e+05,7518,631,139,340,60,118,273,75,30857,8622,260,4,0,0,0,0,0
