iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-age,aggDist-gender,aggDist-zip_code,aggDist-first_name,aggDist-middle_name,aggDist-last_name,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6
1490,1540690722638,305167,-1.832330546e+07,3377,1230,246681,10696,82363,48586,138767,232308,70709,6197,149,4,0
1500,1540690740704,305101,-1.831769663e+07,3327,1257,245561,10595,82578,48480,139588,231791,70397,6219,139,0,0
1510,1540690757333,304967,-1.832010038e+07,3320,1230,245503,10634,82456,49301,139440,231567,70679,6274,173,1,0
1520,1540690773899,304849,-1.832933104e+07,3246,1272,246314,10489,83462,48791,138544,232274,70813,6338,165,0,0
1530,1540690790408,304716,-1.832223593e+07,3401,1177,245015,10770,83366,48833,139633,231062,70941,6375,122,1,0
1540,1540690807016,304550,-1.833526990e+07,3345,1236,246238,10787,83555,49572,138053,232056,71555,6314,155,1,0
1550,1540690823419,304414,-1.832992877e+07,3297,1197,245241,10503,83748,49724,139088,231153,71270,6475,148,0,0
1560,1540690839789,304229,-1.833293929e+07,3363,1198,245851,10562,84087,49706,138378,231374,71913,6312,154,3,0
1570,1540690856272,304221,-1.833342215e+07,3358,1210,245647,10554,84006,49791,138762,231048,71609,6561,153,1,0
1580,1540690872855,304161,-1.833647229e+07,3342,1349,245652,10518,85131,49521,137803,231974,71693,6504,159,1,0
1590,1540690889162,304019,-1.834686911e+07,3423,1272,245691,10726,85200,50425,137622,231280,72401,6670,160,1,0
1600,1540690906218,303883,-1.834622617e+07,3436,1203,246040,10593,85114,49846,137691,231539,72178,6568,157,1,0
1610,1540690922684,303785,-1.834983477e+07,3305,1287,246009,10533,86075,50070,137338,231225,72831,6570,168,2,0
1620,1540690939174,303693,-1.835121621e+07,3339,1189,246738,10598,85477,49678,137197,231753,72451,6569,163,1,0
1630,1540690955134,303653,-1.835326207e+07,3374,1267,246406,10917,86091,50073,137074,231014,73199,6673,173,1,0
1640,1540690971807,303543,-1.835532634e+07,3352,1297,245858,11185,86209,50597,136742,231359,73146,6702,184,1,0
1650,1540690988146,303494,-1.836020406e+07,3385,1224,246883,11137,85914,49837,136629,231695,72893,6770,146,1,0
1660,1540691005168,303443,-1.835948277e+07,3386,1308,246797,10997,86175,49807,136832,231274,73071,6776,179,2,0
1670,1540691021991,303323,-1.835126880e+07,3344,1247,246075,10830,85980,49662,137186,231797,72285,6694,171,1,0
1680,1540691038806,303244,-1.835447427e+07,3446,1307,245759,10919,86335,49287,137535,231194,72517,6728,159,1,0
1690,1540691055391,303146,-1.836403524e+07,3472,1199,246515,10745,87080,50113,136218,231760,73271,6718,167,0,0
1700,1540691072556,303067,-1.835828252e+07,3395,1335,245749,10944,86724,49605,137244,230958,73169,6596,167,0,0
1710,1540691088821,303003,-1.836558531e+07,3356,1341,246516,11192,87194,50111,136299,231137,73692,6836,169,1,0
1720,1540691105448,302930,-1.836430953e+07,3405,1295,246032,10977,87461,49927,136490,231209,73577,6698,160,0,0
1730,1540691121597,302876,-1.836599029e+07,3419,1194,245643,11412,87618,49859,136850,230567,73762,6766,189,0,0
1740,1540691138160,302771,-1.836699817e+07,3474,1342,245386,11325,88158,50701,136306,230600,74089,6950,187,2,0
1750,1540691154839,302707,-1.837763328e+07,3494,1218,246355,11749,88739,50631,135214,231009,74748,6972,190,1,0
1760,1540691171410,302596,-1.837494010e+07,3391,1212,246297,11423,88103,50490,135532,231514,74051,6848,189,0,0
1770,1540691187657,302498,-1.837757803e+07,3454,1228,246541,11493,88497,50627,135383,231017,74553,7007,174,0,0
1780,1540691204222,302439,-1.837256129e+07,3303,1119,245774,11206,88483,50547,136124,230866,74066,6878,200,0,0
1790,1540691220488,302364,-1.838202781e+07,3453,1290,246837,11279,87956,50558,135341,231415,74356,6842,180,0,0
1800,1540691237416,302306,-1.837630054e+07,3428,1234,245940,11092,88609,50553,136003,230643,74430,6881,175,2,0
1810,1540691253636,302210,-1.837845721e+07,3489,1189,245867,11537,88718,50682,135622,230805,74626,6900,180,1,0
1820,1540691270330,302129,-1.838492651e+07,3464,1255,246931,11383,88929,50076,135117,231296,74618,6907,195,1,0
1830,1540691286503,302014,-1.838786858e+07,3441,1182,246631,11294,88780,51123,135237,230696,75013,7026,159,3,0
1840,1540691302890,301957,-1.838266001e+07,3420,1145,245992,11366,89054,50739,135914,230115,74880,7059,166,0,0
1850,1540691319176,301879,-1.839058622e+07,3435,1260,246806,11094,89445,50958,134939,230740,75281,7002,170,2,0
1860,1540691335598,301847,-1.838961676e+07,3513,1325,246749,11406,89396,50796,134772,230945,75196,7036,185,0,0
1870,1540691353080,301761,-1.839237395e+07,3521,1289,246256,11486,90361,51224,134750,230199,75810,7183,191,1,0
1880,1540691369737,301699,-1.840247685e+07,3462,1238,247090,11321,90199,51409,134269,230555,75971,7135,203,1,0
1890,1540691385972,301586,-1.841055215e+07,3539,1306,247664,11713,90651,51714,133412,230528,76726,7267,199,2,0
1900,1540691402720,301525,-1.840443552e+07,3513,1278,246585,11896,91117,51558,133918,230199,76509,7303,204,1,0
1910,1540691419237,301406,-1.839684672e+07,3485,1195,246312,11533,90328,51514,134767,229894,76129,7162,181,1,0
1920,1540691436036,301267,-1.840310747e+07,3583,1164,245791,11784,91287,51483,134501,229880,76225,7353,172,3,0
1930,1540691452314,301203,-1.840548577e+07,3472,1257,246432,11665,91937,51524,133767,230217,76563,7405,181,1,0
1940,1540691469035,301168,-1.840739020e+07,3529,1211,246402,11619,90960,51716,134098,230294,76283,7261,196,2,0
1950,1540691485447,301128,-1.841466808e+07,3512,1300,246389,11661,92411,51958,133678,229472,77391,7400,189,3,1
1960,1540691502050,301094,-1.840375284e+07,3577,1183,245999,11674,91014,51767,134287,230225,76099,7303,218,2,0
1970,1540691518320,301052,-1.840549025e+07,3482,1217,246270,11523,91502,52303,133828,229884,77023,7231,166,2,0
1980,1540691535083,301024,-1.841300487e+07,3550,1281,246877,11661,91632,51885,133485,230180,76905,7360,204,0,0
1990,1540691551200,300996,-1.840536521e+07,3501,1194,246620,11373,91461,51668,133836,230339,76574,7211,173,1,0
2000,1540691568196,300926,-1.841228431e+07,3452,1240,246695,11884,91585,51951,133363,230435,76809,7356,169,2,0
2010,1540691584470,300927,-1.841653059e+07,3522,1257,247769,11655,91991,51586,132825,230494,77336,7303,175,1,0
2020,1540691601017,300852,-1.841633651e+07,3485,1265,246929,11278,92673,51704,133288,230124,77122,7435,164,1,0
2030,1540691617371,300792,-1.841476785e+07,3476,1211,247180,11856,92590,51591,132876,230508,77054,7496,200,0,0
2040,1540691633745,300725,-1.841306585e+07,3575,1205,247191,11603,91647,51034,133485,230778,76323,7363,183,2,0
2050,1540691650164,300699,-1.841466122e+07,3519,1242,246333,11701,92350,51839,133721,229628,77208,7370,205,2,0
2060,1540691667046,300564,-1.841742452e+07,3535,1200,246467,11369,92100,52145,133478,230250,76839,7382,183,2,0
2070,1540691683344,300525,-1.842025995e+07,3588,1169,246207,11894,92370,53027,133117,229681,77630,7511,194,1,0
2080,1540691700201,300494,-1.842503045e+07,3640,1182,247483,11799,92408,52222,132461,230570,77367,7515,220,1,0
2090,1540691716280,300453,-1.842398016e+07,3536,1110,246961,11842,92898,52533,132632,229930,77952,7434,186,0,0
2100,1540691733385,300396,-1.842706534e+07,3660,1176,246964,11856,93158,52536,132520,229855,77994,7553,212,0,0
2110,1540691749561,300367,-1.842612590e+07,3611,1276,246914,12141,92815,52116,132886,229697,77690,7650,209,2,0
2120,1540691766534,300327,-1.842416279e+07,3654,1138,246646,12134,92364,52151,133038,230056,77280,7572,185,3,0
2130,1540691783173,300292,-1.842773575e+07,3637,1285,246865,11899,93855,51978,132360,229861,78289,7418,204,2,0
2140,1540691799599,300224,-1.841655220e+07,3569,1194,245797,12043,93025,51815,133640,229452,77340,7499,201,2,0
2150,1540691815867,300140,-1.843311722e+07,3598,1194,246740,12020,93771,51947,132415,230038,78007,7481,190,3,0
2160,1540691832672,300078,-1.842986966e+07,3635,1143,246542,11849,94196,52407,132407,229651,78315,7553,208,0,0
2170,1540691849148,300041,-1.842598204e+07,3639,1267,245996,11944,94018,52240,133068,228919,78479,7446,221,1,0
2180,1540691865714,300027,-1.843147520e+07,3669,1128,246489,12076,92974,52905,132568,229889,77858,7640,179,0,0
2190,1540691882000,299980,-1.843083632e+07,3707,1242,246687,11941,93587,52501,132381,229848,78086,7631,188,0,0
2200,1540691899143,299961,-1.843381059e+07,3683,1212,246535,12310,93057,52089,132628,230107,77606,7605,188,0,0
2210,1540691915198,299949,-1.843469034e+07,3692,1245,247187,12236,93251,51912,132210,230346,77753,7630,194,1,0
2220,1540691931995,299896,-1.843181167e+07,3663,1106,247567,12055,93504,51964,132207,229925,78268,7541,190,3,0
2230,1540691948447,299872,-1.843570815e+07,3642,1354,246304,12374,94193,52322,132256,229660,78338,7668,211,1,0
2240,1540691964697,299812,-1.843053887e+07,3667,1298,246080,12205,94631,52105,132360,229580,78374,7623,196,1,0
2250,1540691981025,299747,-1.843771081e+07,3560,1294,247245,12218,94129,51980,131982,230018,78197,7734,203,0,0
2260,1540691997448,299745,-1.843358103e+07,3621,1138,246838,12419,94235,52022,132050,229923,78320,7654,187,0,0
2270,1540692013848,299713,-1.844045013e+07,3703,1290,245853,12467,95217,52437,132101,229141,79058,7628,204,2,0
2280,1540692030170,299634,-1.843351482e+07,3709,1209,246722,12468,94657,52136,131905,229660,78674,7688,206,1,0
2290,1540692046702,299641,-1.844412089e+07,3711,1263,246770,12785,94812,52181,131760,229427,78958,7780,206,3,0
2300,1540692064292,299555,-1.844199460e+07,3705,1197,247759,12328,94567,51836,131431,230165,78594,7738,205,1,0
2310,1540692081212,299491,-1.844631710e+07,3786,1182,246783,12747,95142,52422,131722,228959,79478,7756,216,3,0
